,EC,FC,HP_EHR
T2230,5.149,23.1,2.009
T2231,5.157,23.1,2.009
T2232,5.233,23.1,2.009
T2233,5.317,23.1,2.009
T2234,5.302,23.1,2.009
T2235,5.302,23.1,2.009
T2236,5.34,23.1,2.009
T2237,5.37,23.1,2.009
T2238,5.37,23.1,2.009
T2239,5.309,23.1,2.009
T2240,5.165,23.1,2.009
T2241,5.058,23.1,2.009
T2242,4.951,23.1,2.009
T2243,4.852,23.1,2.009
T2244,4.791,23.1,2.009
T2245,4.768,23.1,2.009
T2246,4.768,23.1,2.009
T2247,4.723,23.1,2.009
T2248,4.723,23.1,2.009
T2249,4.784,23.1,2.009
T2250,4.852,23.1,2.009
T2251,4.89,23.1,2.009
T2252,5.02,23.1,2.009
T2253,5.05,23.1,2.009
T2254,5.066,23.1,2.009
T2255,5.05,23.1,2.009
T2256,5.142,23.1,2.009
T2257,5.149,23.1,2.009
T2258,5.172,23.1,2.009
T2259,5.188,23.1,2.009
T2260,5.218,23.1,2.009
T2261,5.233,23.1,2.009
T2262,5.241,23.1,2.009
T2263,5.165,23.1,2.009
T2264,4.868,23.1,2.009
T2265,4.791,23.1,2.009
T2266,4.746,23.1,2.009
T2267,4.677,23.1,2.009
T2268,4.669,23.1,2.009
T2269,4.647,23.1,2.009
T2270,4.593,23.1,2.009
T2271,4.547,23.1,2.009
T2272,4.555,23.1,2.009
T2273,4.601,23.1,2.009
T2274,4.654,23.1,2.009
T2275,4.73,23.1,2.009
T2276,4.799,23.1,2.009
T2277,4.845,23.1,2.009
T2278,4.852,23.1,2.009
T2279,4.89,23.1,2.009
T2280,4.928,23.1,2.009
T2281,4.921,23.1,2.009
T2282,4.913,23.1,2.009
T2283,4.883,23.1,2.009
T2284,4.875,23.1,2.009
T2285,4.921,23.1,2.009
T2286,4.928,23.1,2.009
T2287,4.906,23.1,2.009
T2288,4.837,23.1,2.009
T2289,4.784,23.1,2.009
T2290,4.746,23.1,2.009
T2291,4.685,23.1,2.009
T2292,4.624,23.1,2.009
T2293,4.593,23.1,2.009
T2294,4.586,23.1,2.009
T2295,4.532,23.1,2.009
T2296,4.502,23.1,2.009
T2297,4.471,23.1,2.009
T2298,4.509,23.1,2.009
T2299,4.593,23.1,2.009
T2300,4.707,23.1,2.009
T2301,4.707,23.1,2.009
T2302,4.7,23.1,2.009
T2303,4.814,23.1,2.009
T2304,4.883,23.1,2.009
T2305,4.936,23.1,2.009
T2306,4.982,23.1,2.009
T2307,4.959,23.1,2.009
T2308,4.883,23.1,2.009
T2309,4.753,23.1,2.009
T2310,4.715,23.1,2.009
T2311,4.73,23.1,2.009
T2312,4.677,23.1,2.009
T2313,4.563,23.1,2.009
T2314,4.464,23.1,2.009
T2315,4.403,23.1,2.009
T2316,4.372,23.1,2.009
T2317,4.365,23.1,2.009
T2318,4.319,23.1,2.009
T2319,4.311,23.1,2.009
T2320,4.311,23.1,2.009
T2321,4.334,23.1,2.009
T2322,4.403,23.1,2.009
T2323,4.624,23.1,2.009
T2324,4.761,23.1,2.009
T2325,4.852,23.1,2.009
T2326,4.86,23.1,2.009
T2327,4.883,23.1,2.009
T2328,4.989,23.1,2.009
T2329,5.096,23.1,2.009
T2330,5.081,23.1,2.009
T2331,5.088,23.1,2.009
T2332,5.111,23.1,2.009
T2333,5.165,23.1,2.009
T2334,5.028,23.1,2.009
T2335,4.875,23.1,2.009
T2336,4.768,23.1,2.009
T2337,4.677,23.1,2.009
T2338,4.662,23.1,2.009
T2339,4.631,23.1,2.009
T2340,4.608,23.1,2.009
T2341,4.54,23.1,2.009
T2342,4.517,23.1,2.009
T2343,4.487,23.1,2.009
T2344,4.525,23.1,2.009
T2345,4.563,23.1,2.009
T2346,4.624,23.1,2.009
T2347,4.715,23.1,2.009
T2348,4.791,23.1,2.009
T2349,4.852,23.1,2.009
T2350,4.951,23.1,2.009
T2351,4.989,23.1,2.009
T2352,4.951,23.1,2.009
T2353,4.837,23.1,2.009
T2354,4.791,23.1,2.009
T2355,4.906,23.1,2.009
T2356,4.921,23.1,2.009
T2357,4.928,23.1,2.009
T2358,4.875,23.1,2.009
T2359,4.845,23.1,2.009
T2360,4.807,23.1,2.009
T2361,4.753,23.1,2.032
T2362,4.707,23.1,2.032
T2363,4.647,23.1,2.032
T2364,4.608,23.1,2.032
T2365,4.601,23.1,2.032
T2366,4.578,23.1,2.032
T2367,4.555,23.1,2.032
T2368,4.555,23.1,2.032
T2369,4.57,23.1,2.032
T2370,4.654,23.1,2.032
T2371,4.761,23.1,2.032
T2372,4.852,23.1,2.032
T2373,4.928,23.1,2.032
T2374,5.02,23.1,2.032
T2375,5.081,23.1,2.032
T2376,5.18,23.1,2.032
T2377,5.18,23.1,2.032
T2378,5.149,23.1,2.032
T2379,5.172,23.1,2.032
T2380,5.218,23.1,2.032
T2381,5.317,23.1,2.032
T2382,5.294,23.1,2.032
T2383,5.264,23.1,2.032
T2384,5.066,23.1,2.032
T2385,4.936,23.1,2.032
T2386,4.852,23.1,2.032
T2387,4.799,23.1,2.032
T2388,4.746,23.1,2.032
T2389,4.692,23.1,2.032
T2390,4.639,23.1,2.032
T2391,4.639,23.1,2.032
T2392,4.669,23.1,2.032
T2393,4.761,23.1,2.032
T2394,4.807,23.1,2.032
T2395,4.837,23.1,2.032
T2396,4.86,23.1,2.032
T2397,4.928,23.1,2.032
T2398,4.997,23.1,2.032
T2399,5.043,23.1,2.032
T2400,5.066,23.1,2.032
T2401,5.104,23.1,2.032
T2402,5.165,23.1,2.032
T2403,5.256,23.1,2.032
T2404,5.309,23.1,2.032
T2405,5.348,23.1,2.032
T2406,5.355,23.1,2.032
T2407,5.226,23.1,2.032
T2408,4.967,23.1,2.032
T2409,4.807,23.1,2.032
T2410,4.761,23.1,2.032
T2411,4.707,23.1,2.032
T2412,4.685,23.1,2.032
T2413,4.715,23.1,2.032
T2414,4.738,23.1,2.032
T2415,4.768,23.1,2.032
T2416,4.784,23.1,2.032
T2417,4.799,23.1,2.032
T2418,4.822,23.1,2.032
T2419,4.837,23.1,2.032
T2420,4.852,23.1,2.032
T2421,4.875,23.1,2.032
T2422,4.898,23.1,2.032
T2423,4.875,23.1,2.032
T2424,4.875,23.1,2.032
T2425,4.845,23.1,2.032
T2426,4.845,23.1,2.032
T2427,4.829,23.1,2.032
T2428,4.807,23.1,2.032
T2429,4.799,23.1,2.032
T2430,4.799,23.1,2.032
T2431,4.776,23.1,2.032
T2432,4.707,23.1,2.032
T2433,4.616,23.1,2.032
T2434,4.54,23.1,2.032
T2435,4.403,23.1,2.032
T2436,4.288,23.1,2.032
T2437,4.174,23.1,2.032
T2438,4.113,23.1,2.032
T2439,4.045,23.1,2.032
T2440,4.098,23.1,2.032
T2441,4.174,23.1,2.032
T2442,4.258,23.1,2.032
T2443,4.349,23.1,2.032
T2444,4.471,23.1,2.032
T2445,4.586,23.1,2.032
T2446,4.685,23.1,2.032
T2447,4.761,23.1,2.032
T2448,4.807,23.1,2.032
T2449,4.898,23.1,2.032
T2450,4.997,23.1,2.032
T2451,5.035,23.1,2.032
T2452,5.066,23.1,2.032
T2453,5.096,23.1,2.032
T2454,5.104,23.1,2.032
T2455,5.035,23.1,2.032
T2456,4.974,23.1,2.032
T2457,4.913,23.1,2.032
T2458,4.928,23.1,2.032
T2459,4.883,23.1,2.032
T2460,4.913,23.1,2.032
T2461,4.852,23.1,2.032
T2462,4.837,23.1,2.032
T2463,4.852,23.1,2.032
T2464,4.883,23.1,2.032
T2465,5.012,23.1,2.032
T2466,5.028,23.1,2.032
T2467,5.005,23.1,2.032
T2468,5.028,23.1,2.032
T2469,5.073,23.1,2.032
T2470,5.111,23.1,2.032
T2471,5.127,23.1,2.032
T2472,5.142,23.1,2.032
T2473,5.264,23.1,2.032
T2474,5.279,23.1,2.032
T2475,5.409,23.1,2.032
T2476,5.309,23.1,2.032
T2477,5.355,23.1,2.032
T2478,5.21,23.1,2.032
T2479,5.149,23.1,2.032
T2480,5.058,23.1,2.032
T2481,5.035,23.1,2.032
T2482,5.005,23.1,2.032
T2483,4.928,23.1,2.032
T2484,4.875,23.1,2.032
T2485,4.837,23.1,2.032
T2486,4.799,23.1,2.032
T2487,4.784,23.1,2.032
T2488,4.768,23.1,2.032
T2489,4.746,23.1,2.032
T2490,4.768,23.1,2.032
T2491,4.807,23.1,2.032
T2492,4.875,23.1,2.032
T2493,4.875,23.1,2.032
T2494,4.89,23.1,2.032
T2495,4.921,23.1,2.032
T2496,4.921,23.1,2.032
T2497,4.921,23.1,2.032
T2498,4.928,23.1,2.032
T2499,4.944,23.1,2.032
T2500,4.936,23.1,2.032
T2501,4.921,23.1,2.032
T2502,4.913,23.1,2.032
T2503,4.906,23.1,2.032
T2504,4.883,23.1,2.032
T2505,4.829,23.1,2.032
T2506,4.761,23.1,2.032
T2507,4.669,23.1,2.032
T2508,4.555,23.1,2.032
T2509,4.487,23.1,2.032
T2510,4.418,23.1,2.053
T2511,4.342,23.1,2.053
T2512,4.311,23.1,2.053
T2513,4.334,23.1,2.053
T2514,4.372,23.1,2.053
T2515,4.487,23.1,2.053
T2516,4.586,23.1,2.053
T2517,4.685,23.1,2.053
T2518,4.776,23.1,2.053
T2519,4.852,23.1,2.053
T2520,4.913,23.1,2.053
T2521,4.928,23.1,2.053
T2522,4.913,23.1,2.053
T2523,4.89,23.1,2.053
T2524,4.852,23.1,2.053
T2525,4.814,23.1,2.053
T2526,4.814,23.1,2.053
T2527,4.776,23.1,2.053
T2528,4.723,23.1,2.053
T2529,4.662,23.1,2.053
T2530,4.624,23.1,2.053
T2531,4.586,23.1,2.053
T2532,4.563,23.1,2.053
T2533,4.525,23.1,2.053
T2534,4.517,23.1,2.053
T2535,4.502,23.1,2.053
T2536,4.502,23.1,2.053
T2537,4.525,23.1,2.053
T2538,4.647,23.1,2.053
T2539,4.738,23.1,2.053
T2540,4.791,23.1,2.053
T2541,4.822,23.1,2.053
T2542,4.898,23.1,2.053
T2543,4.997,23.1,2.053
T2544,5.058,23.1,2.053
T2545,5.058,23.1,2.053
T2546,5.043,23.1,2.053
T2547,5.081,23.1,2.053
T2548,5.104,23.1,2.053
T2549,5.149,23.1,2.053
T2550,5.18,23.1,2.053
T2551,4.989,23.1,2.053
T2552,4.921,23.1,2.053
T2553,4.875,23.1,2.053
T2554,4.845,23.1,2.053
T2555,4.738,23.1,2.053
T2556,4.692,23.1,2.053
T2557,4.639,23.1,2.053
T2558,4.616,23.1,2.053
T2559,4.601,23.1,2.053
T2560,4.608,23.1,2.053
T2561,4.647,23.1,2.053
T2562,4.7,23.1,2.053
T2563,4.784,23.1,2.053
T2564,4.852,23.1,2.053
T2565,4.944,23.1,2.053
T2566,5.028,23.1,2.053
T2567,5.066,23.1,2.053
T2568,5.096,23.1,2.053
T2569,5.073,23.1,2.053
T2570,5.111,23.1,2.053
T2571,5.165,23.1,2.053
T2572,5.157,23.1,2.053
T2573,5.165,23.1,2.053
T2574,5.142,23.1,2.053
T2575,5.012,23.1,2.053
T2576,4.913,23.1,2.053
T2577,4.837,23.1,2.053
T2578,4.715,23.1,2.053
T2579,4.624,23.1,2.053
T2580,4.601,23.1,2.053
T2581,4.586,23.1,2.053
T2582,4.631,23.1,2.053
T2583,4.616,23.1,2.053
T2584,4.669,23.1,2.053
T2585,4.715,23.1,2.053
T2586,4.73,23.1,2.053
T2587,4.768,23.1,2.053
T2588,4.829,23.1,2.053
T2589,4.89,23.1,2.053
T2590,4.928,23.1,2.053
T2591,4.913,23.1,2.053
T2592,4.982,23.1,2.053
T2593,5.012,23.1,2.053
T2594,5.066,23.1,2.053
T2595,5.05,23.1,2.053
T2596,5.104,23.1,2.053
T2597,5.104,23.1,2.053
T2598,5.066,23.1,2.053
T2599,4.974,23.1,2.053
T2600,4.875,23.1,2.053
T2601,4.768,23.1,2.053
T2602,4.768,23.1,2.053
T2603,4.692,23.1,2.053
T2604,4.608,23.1,2.053
T2605,4.57,23.1,2.053
T2606,4.555,23.1,2.053
T2607,4.547,23.1,2.053
T2608,4.502,23.1,2.053
T2609,4.494,23.1,2.053
T2610,4.624,23.1,2.053
T2611,4.738,23.1,2.053
T2612,4.768,23.1,2.053
T2613,4.807,23.1,2.053
T2614,4.837,23.1,2.053
T2615,5.005,23.1,2.053
T2616,5.081,23.1,2.053
T2617,5.142,23.1,2.053
T2618,5.172,23.1,2.053
T2619,5.21,23.1,2.053
T2620,5.157,23.1,2.053
T2621,5.142,23.1,2.053
T2622,5.073,23.1,2.053
T2623,4.944,23.1,2.053
T2624,4.807,23.1,2.053
T2625,4.677,23.1,2.053
T2626,4.707,23.1,2.053
T2627,4.616,23.1,2.053
T2628,4.502,23.1,2.053
T2629,4.441,23.1,2.053
T2630,4.418,23.1,2.053
T2631,4.479,23.1,2.053
T2632,4.532,23.1,2.053
T2633,4.517,23.1,2.053
T2634,4.578,23.1,2.053
T2635,4.654,23.1,2.053
T2636,4.746,23.1,2.053
T2637,4.738,23.1,2.053
T2638,4.753,23.1,2.053
T2639,4.761,23.1,2.053
T2640,4.814,23.1,2.053
T2641,4.883,23.1,2.053
T2642,4.898,23.1,2.053
T2643,4.944,23.1,2.053
T2644,5.012,23.1,2.053
T2645,5.035,23.1,2.053
T2646,5.02,23.1,2.053
T2647,4.868,23.1,2.053
T2648,4.784,23.1,2.053
T2649,4.738,23.1,2.053
T2650,4.654,23.1,2.053
T2651,4.487,23.1,2.053
T2652,4.403,23.1,2.053
T2653,4.334,23.1,2.053
T2654,4.296,23.1,2.053
T2655,4.365,23.1,2.053
T2656,4.395,23.1,2.053
T2657,4.433,23.1,2.053
T2658,4.563,23.1,2.053
T2659,4.639,23.1,2.053
T2660,4.654,23.1,2.053
T2661,4.707,23.1,2.053
T2662,4.768,23.1,2.053
T2663,4.883,23.1,2.053
T2664,4.951,23.1,2.053
T2665,4.997,23.1,2.053
T2666,4.982,23.1,2.053
T2667,5.012,23.1,2.053
T2668,5.088,23.1,2.053
T2669,5.081,23.1,2.053
T2670,4.989,23.1,2.053
T2671,4.845,23.1,2.053
T2672,4.776,23.1,2.053
T2673,4.662,23.1,2.053
T2674,4.54,23.1,2.053
T2675,4.433,23.1,2.053
T2676,4.326,23.1,2.053
T2677,4.349,23.1,2.053
T2678,4.357,23.1,2.053
T2679,4.334,23.1,2.053
T2680,4.326,23.1,2.053
T2681,4.395,23.1,2.053
T2682,4.471,23.1,2.053
T2683,4.547,23.1,2.053
T2684,4.639,23.1,2.053
T2685,4.677,23.1,2.053
T2686,4.799,23.1,2.053
T2687,4.898,23.1,2.053
T2688,4.959,23.1,2.053
T2689,4.974,23.1,2.053
T2690,5.028,23.1,2.053
T2691,4.951,23.1,2.053
T2692,4.982,23.1,2.053
T2693,4.944,23.1,2.053
T2694,5.012,23.1,2.053
T2695,4.738,23.1,2.053
T2696,4.494,23.1,2.053
T2697,4.334,23.1,2.053
T2698,4.212,23.1,2.053
T2699,4.151,23.1,2.053
T2700,4.09,23.1,2.053
T2701,3.999,23.1,2.053
T2702,3.976,23.1,2.053
T2703,3.984,23.1,2.053
T2704,4.029,23.1,2.053
T2705,4.121,23.1,2.053
T2706,4.235,23.1,2.053
T2707,4.311,23.1,2.053
T2708,4.426,23.1,2.053
T2709,4.578,23.1,2.053
T2710,4.654,23.1,2.053
T2711,4.677,23.1,2.053
T2712,4.692,23.1,2.053
T2713,4.746,23.1,2.053
T2714,4.852,23.1,2.053
T2715,4.86,23.1,2.053
T2716,4.845,23.1,2.053
T2717,4.875,23.1,2.053
T2718,4.86,23.1,2.053
T2719,4.723,23.1,2.053
T2720,4.616,23.1,2.053
T2721,4.54,23.1,2.053
T2722,4.471,23.1,2.053
T2723,4.403,23.1,2.053
T2724,4.41,23.1,2.053
T2725,4.403,23.1,2.053
T2726,4.349,23.1,2.053
T2727,4.441,23.1,2.053
T2728,4.509,23.1,2.053
T2729,4.326,23.1,2.053
T2730,4.342,23.1,2.053
T2731,4.41,23.1,2.053
T2732,4.555,23.1,2.053
T2733,4.616,23.1,2.053
T2734,4.685,23.1,2.053
T2735,4.73,23.1,2.053
T2736,4.845,23.1,2.053
T2737,4.829,23.1,2.053
T2738,4.837,23.1,2.053
T2739,4.837,23.1,2.053
T2740,4.837,23.1,2.053
T2741,4.868,23.1,2.053
T2742,4.875,23.1,2.053
T2743,4.784,23.1,2.053
T2744,4.685,23.1,2.053
T2745,4.608,23.1,2.053
T2746,4.547,23.1,2.053
T2747,4.517,23.1,2.053
T2748,4.487,23.1,2.053
T2749,4.487,23.1,2.053
T2750,4.479,23.1,2.053
T2751,4.517,23.1,2.053
T2752,4.494,23.1,2.053
T2753,4.509,23.1,2.053
T2754,4.532,23.1,2.053
T2755,4.578,23.1,2.053
T2756,4.669,23.1,2.053
T2757,4.753,23.1,2.053
T2758,4.845,23.1,2.053
T2759,4.898,23.1,2.053
T2760,4.928,23.1,2.053
T2761,5.028,23.1,2.053
T2762,5.203,23.1,2.053
T2763,5.149,23.1,2.053
T2764,5.111,23.1,2.053
T2765,5.096,23.1,2.053
T2766,5.028,23.1,2.053
T2767,4.868,23.1,2.053
T2768,4.746,23.1,2.053
T2769,4.662,23.1,2.053
T2770,4.639,23.1,2.053
T2771,4.601,23.1,2.053
T2772,4.563,23.1,2.053
T2773,4.547,23.1,2.053
T2774,4.563,23.1,2.053
T2775,4.593,23.1,2.053
T2776,4.616,23.1,2.053
T2777,4.624,23.1,2.053
T2778,4.677,23.1,2.053
T2779,4.677,23.1,2.053
T2780,4.707,23.1,2.053
T2781,4.73,23.1,2.053
T2782,4.776,23.1,2.053
T2783,4.898,23.1,2.053
T2784,4.967,23.1,2.053
T2785,5.043,23.1,2.053
T2786,5.096,23.1,2.053
T2787,5.081,23.1,2.053
T2788,5.081,23.1,2.053
T2789,5.058,23.1,2.053
T2790,5.043,23.1,2.053
T2791,4.898,23.1,2.053
T2792,4.768,23.1,2.053
T2793,4.73,23.1,2.053
T2794,4.7,23.1,2.053
T2795,4.677,23.1,2.074
T2796,4.654,23.1,2.074
T2797,4.647,23.1,2.074
T2798,4.662,23.1,2.074
T2799,4.631,23.1,2.074
T2800,4.593,23.1,2.074
T2801,4.616,23.1,2.074
T2802,4.639,23.1,2.074
T2803,4.685,23.1,2.074
T2804,4.7,23.1,2.074
T2805,4.669,23.1,2.074
T2806,4.677,23.1,2.074
T2807,4.669,23.1,2.074
T2808,4.7,23.1,2.074
T2809,4.7,23.1,2.074
T2810,4.715,23.1,2.074
T2811,4.753,23.1,2.074
T2812,4.761,23.1,2.074
T2813,4.776,23.1,2.074
T2814,4.799,23.1,2.074
T2815,4.807,23.1,2.074
T2816,4.73,23.1,2.074
T2817,4.662,23.1,2.074
T2818,4.677,23.1,2.074
T2819,4.662,23.1,2.074
T2820,4.662,23.1,2.074
T2821,4.608,23.1,2.074
T2822,4.525,23.1,2.074
T2823,4.525,23.1,2.074
T2824,4.494,23.1,2.074
T2825,4.624,23.1,2.074
T2826,4.654,23.1,2.074
T2827,4.677,23.1,2.074
T2828,4.7,23.1,2.074
T2829,4.707,23.1,2.074
T2830,4.73,23.1,2.074
T2831,4.738,23.1,2.074
T2832,4.791,23.1,2.074
T2833,4.799,23.1,2.074
T2834,4.845,23.1,2.074
T2835,4.852,23.1,2.074
T2836,4.875,23.1,2.074
T2837,4.906,23.1,2.074
T2838,4.936,23.1,2.074
T2839,4.951,23.1,2.074
T2840,4.928,23.1,2.074
T2841,4.898,23.1,2.074
T2842,4.906,23.1,2.074
T2843,4.883,23.1,2.074
T2844,4.875,23.1,2.074
T2845,4.868,23.1,2.074
T2846,4.883,23.1,2.074
T2847,4.906,23.1,2.074
T2848,4.944,23.1,2.074
T2849,4.951,23.1,2.074
T2850,4.974,23.1,2.074
T2851,5.02,23.1,2.074
T2852,5.081,23.1,2.074
T2853,5.096,23.1,2.074
T2854,5.073,23.1,2.074
T2855,5.066,23.1,2.074
T2856,5.028,23.1,2.074
T2857,5.012,23.1,2.074
T2858,5.012,23.1,2.074
T2859,5.012,23.1,2.074
T2860,5.028,23.1,2.074
T2861,5.043,23.1,2.074
T2862,5.02,23.1,2.074
T2863,4.997,23.1,2.074
T2864,4.959,23.1,2.074
T2865,4.936,23.1,2.074
T2866,4.898,23.1,2.074
T2867,4.868,23.1,2.074
T2868,4.86,23.1,2.074
T2869,4.845,23.1,2.074
T2870,4.822,23.1,2.074
T2871,4.822,23.1,2.074
T2872,4.791,23.1,2.074
T2873,4.738,23.1,2.074
T2874,4.7,23.1,2.074
T2875,4.669,23.1,2.074
T2876,4.746,23.1,2.074
T2877,4.814,23.1,2.074
T2878,4.898,23.1,2.074
T2879,4.974,23.1,2.074
T2880,5.028,23.1,2.074
T2881,4.997,23.1,2.074
T2882,4.86,23.1,2.074
T2883,4.906,23.1,2.074
T2884,4.86,23.1,2.074
T2885,4.936,23.1,2.074
T2886,4.921,23.1,2.074
T2887,4.868,23.1,2.074
T2888,4.845,23.1,2.074
T2889,4.829,23.1,2.074
T2890,4.768,23.1,2.074
T2891,4.7,23.1,2.074
T2892,4.692,23.1,2.074
T2893,4.624,23.1,2.074
T2894,4.662,23.1,2.074
T2895,4.677,23.1,2.074
T2896,4.601,23.1,2.074
T2897,4.601,23.1,2.074
T2898,4.639,23.1,2.074
T2899,4.685,23.1,2.074
T2900,4.738,23.1,2.074
T2901,4.753,23.1,2.074
T2902,4.768,23.1,2.074
T2903,4.761,23.1,2.074
T2904,4.776,23.1,2.074
T2905,4.829,23.1,2.074
T2906,4.829,23.1,2.074
T2907,4.814,23.1,2.074
T2908,4.807,23.1,2.074
T2909,4.921,23.1,2.074
T2910,4.883,23.1,2.074
T2911,4.761,23.1,2.074
T2912,4.692,23.1,2.074
T2913,4.669,23.1,2.074
T2914,4.608,23.1,2.074
T2915,4.723,23.1,2.074
T2916,4.845,23.1,2.074
T2917,4.753,23.1,2.074
T2918,4.601,23.1,2.074
T2919,4.593,23.1,2.074
T2920,4.616,23.1,2.074
T2921,4.631,23.1,2.074
T2922,4.631,23.1,2.074
T2923,4.593,23.1,2.074
T2924,4.662,23.1,2.074
T2925,4.738,23.1,2.074
T2926,4.761,23.1,2.074
T2927,4.761,23.1,2.074
T2928,4.784,23.1,2.074
T2929,4.814,23.1,2.074
T2930,4.845,23.1,2.074
T2931,4.86,23.1,2.074
T2932,4.913,23.1,2.074
T2933,4.974,23.1,2.074
T2934,4.852,23.1,2.074
T2935,4.814,23.1,2.098
T2936,4.746,23.1,2.098
T2937,4.669,23.1,2.098
T2938,4.593,23.1,2.098
T2939,4.456,23.1,2.098
T2940,4.41,23.1,2.098
T2941,4.41,23.1,2.098
T2942,4.433,23.1,2.098
T2943,4.426,23.1,2.098
T2944,4.418,23.1,2.098
T2945,4.433,23.1,2.098
T2946,4.41,23.1,2.098
T2947,4.471,23.1,2.098
T2948,4.547,23.1,2.098
T2949,4.685,23.1,2.098
T2950,4.746,23.1,2.098
T2951,4.852,23.1,2.098
T2952,4.951,23.1,2.098
T2953,4.928,23.1,2.098
T2954,4.997,23.1,2.098
T2955,5.05,23.1,2.098
T2956,5.073,23.1,2.098
T2957,5.096,23.1,2.098
T2958,5.005,23.1,2.098
T2959,4.898,23.1,2.098
T2960,4.822,23.1,2.098
T2961,4.715,23.1,2.098
T2962,4.639,23.1,2.098
T2963,4.601,23.1,2.098
T2964,4.57,23.1,2.098
T2965,4.54,23.1,2.098
T2966,4.502,23.1,2.098
T2967,4.509,23.1,2.098
T2968,4.502,23.1,2.098
T2969,4.517,23.1,2.098
T2970,4.608,23.1,2.098
T2971,4.73,23.1,2.098
T2972,4.768,23.1,2.098
T2973,4.845,23.1,2.098
T2974,4.89,23.1,2.098
T2975,4.913,23.1,2.098
T2976,4.951,23.1,2.098
T2977,4.982,23.1,2.098
T2978,4.997,23.1,2.098
T2979,4.997,23.1,2.098
T2980,5.02,23.1,2.098
T2981,4.997,23.1,2.098
T2982,4.959,23.1,2.098
T2983,4.898,23.1,2.098
T2984,4.852,23.1,2.098
T2985,4.822,23.1,2.098
T2986,4.776,23.1,2.098
T2987,4.746,23.1,2.098
T2988,4.7,23.1,2.098
T2989,4.669,23.1,2.098
T2990,4.654,23.1,2.098
T2991,4.616,23.1,2.098
T2992,4.593,23.1,2.098
T2993,4.547,23.1,2.098
T2994,4.54,23.1,2.098
T2995,4.586,23.1,2.098
T2996,4.662,23.1,2.098
T2997,4.723,23.1,2.098
T2998,4.776,23.1,2.098
T2999,4.799,23.1,2.098
T3000,4.829,23.1,2.098
T3001,4.852,23.1,2.098
T3002,4.875,23.1,2.098
T3003,4.921,23.1,2.098
T3004,4.982,23.1,2.098
T3005,4.997,23.1,2.098
T3006,4.921,23.1,2.098
T3007,4.829,23.1,2.098
T3008,4.723,23.1,2.098
T3009,4.677,23.1,2.098
T3010,4.639,23.1,2.098
T3011,4.593,23.1,2.098
T3012,4.578,23.1,2.098
T3013,4.525,23.1,2.098
T3014,4.471,23.1,2.098
T3015,4.41,23.1,2.098
T3016,4.41,23.1,2.098
T3017,4.426,23.1,2.098
T3018,4.479,23.1,2.098
T3019,4.54,23.1,2.098
T3020,4.578,23.1,2.098
T3021,4.647,23.1,2.098
T3022,4.692,23.1,2.098
T3023,4.738,23.1,2.098
T3024,4.776,23.1,2.098
T3025,4.799,23.1,2.098
T3026,4.822,23.1,2.098
T3027,4.845,23.1,2.098
T3028,4.852,23.1,2.098
T3029,4.868,23.1,2.098
T3030,4.814,23.1,2.098
T3031,4.73,23.1,2.098
T3032,4.654,23.1,2.098
T3033,4.563,23.1,2.098
T3034,4.471,23.1,2.098
T3035,4.387,23.1,2.098
T3036,4.342,23.1,2.098
T3037,4.319,23.1,2.098
T3038,4.296,23.1,2.098
T3039,4.304,23.1,2.098
T3040,4.296,23.1,2.098
T3041,4.296,23.1,2.098
T3042,4.296,23.1,2.098
T3043,4.326,23.1,2.098
T3044,4.418,23.1,2.098
T3045,4.608,23.1,2.098
T3046,4.654,23.1,2.098
T3047,4.654,23.1,2.098
T3048,4.685,23.1,2.098
T3049,4.723,23.1,2.098
T3050,4.761,23.1,2.098
T3051,4.852,23.1,2.098
T3052,4.921,23.1,2.098
T3053,5.028,23.1,2.098
T3054,4.928,23.1,2.098
T3055,4.822,23.1,2.098
T3056,4.738,23.1,2.098
T3057,4.647,23.1,2.098
T3058,4.586,23.1,2.098
T3059,4.494,23.1,2.098
T3060,4.349,23.1,2.098
T3061,4.281,23.1,2.098
T3062,4.174,23.1,2.098
T3063,4.159,23.1,2.098
T3064,4.159,23.1,2.098
T3065,4.113,23.1,2.098
T3066,4.136,23.1,2.098
T3067,4.151,23.1,2.098
T3068,4.25,23.1,2.098
T3069,4.349,23.1,2.098
T3070,4.502,23.1,2.098
T3071,4.601,23.1,2.098
T3072,4.707,23.1,2.098
T3073,4.89,23.1,2.098
T3074,4.906,23.1,2.12
T3075,4.898,23.1,2.12
T3076,4.89,23.1,2.12
T3077,4.852,23.1,2.12
T3078,4.738,23.1,2.12
T3079,4.669,23.1,2.12
T3080,4.608,23.1,2.12
T3081,4.532,23.1,2.12
T3082,4.464,23.1,2.12
T3083,4.38,23.1,2.12
T3084,4.258,23.1,2.12
T3085,4.189,23.1,2.12
T3086,4.174,23.1,2.12
T3087,4.273,23.1,2.12
T3088,4.288,23.1,2.12
T3089,4.311,23.1,2.12
T3090,4.326,23.1,2.12
T3091,4.372,23.1,2.12
T3092,4.441,23.1,2.12
T3093,4.509,23.1,2.12
T3094,4.563,23.1,2.12
T3095,4.586,23.1,2.12
T3096,4.601,23.1,2.12
T3097,4.586,23.1,2.12
T3098,4.563,23.1,2.12
T3099,4.578,23.1,2.12
T3100,4.578,23.1,2.12
T3101,4.578,23.1,2.12
T3102,4.563,23.1,2.12
T3103,4.509,23.1,2.12
